Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sivenav,Chrome 74.0.3729.157,,,2019-05-21 14:45:30,2019-05-21 14:47:42,2m - 11.119s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Bumper,Chrome 74.0.3729.157,,,2019-05-21 14:45:31,2019-05-21 14:45:44,12.661s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:45:31,2019-05-21 14:45:39,7.668s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:45:39,2019-05-21 14:45:42,3.345s,PASSED
"click(findTestObject(""Object Repository/New Folder/a_Bumpers Fascias  Grilles""))",Chrome 74.0.3729.157,,,2019-05-21 14:45:42,2019-05-21 14:45:42,0.162s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:45:42,2019-05-21 14:45:44,1.040s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Headlamps,Chrome 74.0.3729.157,,,2019-05-21 14:45:44,2019-05-21 14:45:53,9.596s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:45:44,2019-05-21 14:45:49,5.314s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:45:49,2019-05-21 14:45:52,3.112s,PASSED
"click(findTestObject(""Object Repository/a_Headlamps  Taillamps""))",Chrome 74.0.3729.157,,,2019-05-21 14:45:52,2019-05-21 14:45:52,0.123s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:45:52,2019-05-21 14:45:53,0.847s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Interior Parts,Chrome 74.0.3729.157,,,2019-05-21 14:45:53,2019-05-21 14:46:03,10.211s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:45:53,2019-05-21 14:45:59,5.615s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:45:59,2019-05-21 14:46:02,3.371s,PASSED
"click(findTestObject(""Object Repository/a_Interior Parts  Air Bags""))",Chrome 74.0.3729.157,,,2019-05-21 14:46:02,2019-05-21 14:46:02,0.139s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:46:02,2019-05-21 14:46:03,0.876s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Radiators,Chrome 74.0.3729.157,,,2019-05-21 14:46:03,2019-05-21 14:46:14,10.827s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:46:04,2019-05-21 14:46:09,5.720s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:46:09,2019-05-21 14:46:13,3.854s,PASSED
"click(findTestObject(""Object Repository/a_Radiators""))",Chrome 74.0.3729.157,,,2019-05-21 14:46:13,2019-05-21 14:46:13,0.105s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:46:13,2019-05-21 14:46:14,0.900s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/SheetMetal,Chrome 74.0.3729.157,,,2019-05-21 14:46:14,2019-05-21 14:46:26,11.732s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:46:14,2019-05-21 14:46:20,5.917s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:46:20,2019-05-21 14:46:22,1.155s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:46:22,2019-05-21 14:46:25,3.294s,PASSED
