Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sivenav,Chrome 74.0.3729.157,,,2019-05-21 14:56:22,2019-05-21 14:58:41,2m - 19.007s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Bumper,Chrome 74.0.3729.157,,,2019-05-21 14:56:22,2019-05-21 14:56:36,13.396s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:56:23,2019-05-21 14:56:30,7.699s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:56:30,2019-05-21 14:56:34,4.002s,PASSED
"click(findTestObject(""Object Repository/New Folder/a_Bumpers Fascias  Grilles""))",Chrome 74.0.3729.157,,,2019-05-21 14:56:34,2019-05-21 14:56:35,0.190s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:56:35,2019-05-21 14:56:36,1.038s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Headlamps,Chrome 74.0.3729.157,,,2019-05-21 14:56:36,2019-05-21 14:56:47,11.700s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:56:36,2019-05-21 14:56:41,5.404s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:56:41,2019-05-21 14:56:46,4.826s,PASSED
"click(findTestObject(""Object Repository/a_Headlamps  Taillamps""))",Chrome 74.0.3729.157,,,2019-05-21 14:56:46,2019-05-21 14:56:46,0.150s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:56:46,2019-05-21 14:56:47,1.040s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Interior Parts,Chrome 74.0.3729.157,,,2019-05-21 14:56:47,2019-05-21 14:56:57,10.001s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:56:48,2019-05-21 14:56:53,5.334s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:56:53,2019-05-21 14:56:56,3.201s,PASSED
"click(findTestObject(""Object Repository/a_Interior Parts  Air Bags""))",Chrome 74.0.3729.157,,,2019-05-21 14:56:56,2019-05-21 14:56:56,0.229s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:56:56,2019-05-21 14:56:57,0.991s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Radiators,Chrome 74.0.3729.157,,,2019-05-21 14:56:57,2019-05-21 14:57:11,13.180s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:56:58,2019-05-21 14:57:05,6.980s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.157,,,2019-05-21 14:57:05,2019-05-21 14:57:09,4.855s,PASSED
"click(findTestObject(""Object Repository/a_Radiators""))",Chrome 74.0.3729.157,,,2019-05-21 14:57:09,2019-05-21 14:57:10,0.108s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:57:10,2019-05-21 14:57:11,0.984s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/SheetMetal,Chrome 74.0.3729.157,,,2019-05-21 14:57:11,2019-05-21 14:57:23,12.255s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:57:11,2019-05-21 14:57:17,5.801s,PASSED
