Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sivenav,Firefox 66.0,,,2019-05-22 19:11:40,2019-05-22 19:14:50,3m - 9.656s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Bumper,Firefox 66.0,,,2019-05-22 19:11:41,2019-05-22 19:11:58,17.345s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:11:41,2019-05-22 19:11:52,11.155s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-05-22 19:11:52,2019-05-22 19:11:52,0.307s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:11:52,2019-05-22 19:11:55,2.735s,PASSED
"click(findTestObject(""Object Repository/New Folder/a_Bumpers Fascias  Grilles""))",Firefox 66.0,,,2019-05-22 19:11:55,2019-05-22 19:11:57,1.423s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:11:57,2019-05-22 19:11:58,1.222s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Headlamps,Firefox 66.0,,,2019-05-22 19:11:58,2019-05-22 19:12:13,15.357s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:11:58,2019-05-22 19:12:08,9.475s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-05-22 19:12:08,2019-05-22 19:12:08,0.290s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:12:08,2019-05-22 19:12:10,2.446s,PASSED
"click(findTestObject(""Object Repository/a_Headlamps  Taillamps""))",Firefox 66.0,,,2019-05-22 19:12:10,2019-05-22 19:12:12,1.616s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:12:12,2019-05-22 19:12:13,1.309s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Interior Parts,Firefox 66.0,,,2019-05-22 19:12:13,2019-05-22 19:12:28,14.693s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:12:13,2019-05-22 19:12:23,9.402s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-05-22 19:12:23,2019-05-22 19:12:23,0.283s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:12:23,2019-05-22 19:12:25,2.253s,PASSED
"click(findTestObject(""Object Repository/a_Interior Parts  Air Bags""))",Firefox 66.0,,,2019-05-22 19:12:25,2019-05-22 19:12:27,1.116s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:12:27,2019-05-22 19:12:28,1.440s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Collision/Radiators,Firefox 66.0,,,2019-05-22 19:12:28,2019-05-22 19:12:43,15.392s,PASSED
