Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Global Nav,Firefox 66.0,,,2019-05-22 19:00:07,2019-05-22 19:03:07,2m - 59.240s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Cadillac Repair Network,Firefox 66.0,,,2019-05-22 19:00:08,2019-05-22 19:00:26,18.381s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:00:09,2019-05-22 19:00:20,10.945s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:00:20,2019-05-22 19:00:22,2.314s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Firefox 66.0,,,2019-05-22 19:00:22,2019-05-22 19:00:22,0.482s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Cadillac Aluminum Repair Network""))",Firefox 66.0,,,2019-05-22 19:00:22,2019-05-22 19:00:24,1.621s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_GENUINE GM REWARDS""))",Firefox 66.0,,,2019-05-22 19:00:24,2019-05-22 19:00:25,0.864s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:00:25,2019-05-22 19:00:26,1.381s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Collision Parts,Firefox 66.0,,,2019-05-22 19:00:26,2019-05-22 19:00:41,14.393s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:00:26,2019-05-22 19:00:35,8.774s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:00:35,2019-05-22 19:00:38,2.546s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Firefox 66.0,,,2019-05-22 19:00:38,2019-05-22 19:00:38,0.332s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Collision parts""))",Firefox 66.0,,,2019-05-22 19:00:38,2019-05-22 19:00:39,1.134s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:00:39,2019-05-22 19:00:41,1.402s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Collision Repair Manuals,Firefox 66.0,,,2019-05-22 19:00:41,2019-05-22 19:00:58,16.871s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:00:41,2019-05-22 19:00:50,9.447s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:00:50,2019-05-22 19:00:53,2.561s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Firefox 66.0,,,2019-05-22 19:00:53,2019-05-22 19:00:53,0.354s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Collision Repair Manuals""))",Firefox 66.0,,,2019-05-22 19:00:53,2019-05-22 19:00:55,1.497s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/button_Programs  Offers""))",Firefox 66.0,,,2019-05-22 19:00:55,2019-05-22 19:00:56,1.311s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:00:56,2019-05-22 19:00:58,1.416s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Collision Repair Network,Firefox 66.0,,,2019-05-22 19:00:58,2019-05-22 19:01:14,16.629s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:00:58,2019-05-22 19:01:07,9.543s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:01:07,2019-05-22 19:01:10,2.455s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Firefox 66.0,,,2019-05-22 19:01:10,2019-05-22 19:01:10,0.400s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Collision Repair Network""))",Firefox 66.0,,,2019-05-22 19:01:10,2019-05-22 19:01:12,1.395s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Why participate in the General Motors Collision Repair Network""))",Firefox 66.0,,,2019-05-22 19:01:12,2019-05-22 19:01:12,0.370s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Why participate in the General Motors Collision Repair Network""))",Firefox 66.0,,,2019-05-22 19:01:12,2019-05-22 19:01:12,0.384s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/button_ENROLL NOW""))",Firefox 66.0,,,2019-05-22 19:01:12,2019-05-22 19:01:13,0.278s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:01:13,2019-05-22 19:01:14,1.556s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/My GM Partner Perks,Firefox 66.0,,,2019-05-22 19:01:14,2019-05-22 19:01:34,19.946s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:01:14,2019-05-22 19:01:25,10.267s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:01:25,2019-05-22 19:01:27,2.729s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Firefox 66.0,,,2019-05-22 19:01:27,2019-05-22 19:01:28,0.398s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_My GM Partner Perks""))",Firefox 66.0,,,2019-05-22 19:01:28,2019-05-22 19:01:31,2.769s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT SERVICECENTER INFORMATION""))",Firefox 66.0,,,2019-05-22 19:01:31,2019-05-22 19:01:31,0.407s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT SERVICECENTER INFORMATION""))",Firefox 66.0,,,2019-05-22 19:01:31,2019-05-22 19:01:31,0.332s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT BODY SHOP INFORMATION""))",Firefox 66.0,,,2019-05-22 19:01:31,2019-05-22 19:01:32,0.290s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT BODY SHOP INFORMATION""))",Firefox 66.0,,,2019-05-22 19:01:32,2019-05-22 19:01:32,0.307s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_FLEET INFORMATION""))",Firefox 66.0,,,2019-05-22 19:01:32,2019-05-22 19:01:32,0.316s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_FLEET INFORMATION""))",Firefox 66.0,,,2019-05-22 19:01:32,2019-05-22 19:01:33,0.330s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:01:33,2019-05-22 19:01:34,1.524s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Position Statement,Firefox 66.0,,,2019-05-22 19:01:34,2019-05-22 19:01:51,16.406s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:01:34,2019-05-22 19:01:44,9.332s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:01:44,2019-05-22 19:01:47,3.112s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Firefox 66.0,,,2019-05-22 19:01:47,2019-05-22 19:01:47,0.412s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Position Statements""))",Firefox 66.0,,,2019-05-22 19:01:47,2019-05-22 19:01:49,1.437s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Safety System Repairs and Inspections required after a Collision""))",Firefox 66.0,,,2019-05-22 19:01:49,2019-05-22 19:01:49,0.353s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 19:01:49,2019-05-22 19:01:51,1.511s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Programs and Offers,Firefox 66.0,,,2019-05-22 19:01:51,2019-05-22 19:02:07,16.152s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 19:01:51,2019-05-22 19:02:01,10.009s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 19:02:01,2019-05-22 19:02:03,2.452s,PASSED
"click(findTestObject(""Object Repository/li_Collision""))",Firefox 66.0,,,2019-05-22 19:02:03,2019-05-22 19:02:04,0.580s,PASSED
