Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/New Folder/Global nav/a_My GM Partner Perks""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:38,2019-05-27 19:24:43,4.399s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT SERVICECENTER INFORMATION""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:43,2019-05-27 19:24:43,0.239s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT SERVICECENTER INFORMATION""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:43,2019-05-27 19:24:43,0.211s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT BODY SHOP INFORMATION""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:43,2019-05-27 19:24:44,0.290s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_INDEPENDENT BODY SHOP INFORMATION""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:44,2019-05-27 19:24:44,0.223s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_FLEET INFORMATION""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:44,2019-05-27 19:24:44,0.278s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_FLEET INFORMATION""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:44,2019-05-27 19:24:44,0.179s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:24:44,2019-05-27 19:24:45,0.907s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Position Statement,Chrome 74.0.3729.169,,,2019-05-27 19:24:45,2019-05-27 19:25:02,16.791s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:24:45,2019-05-27 19:24:52,6.266s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:24:52,2019-05-27 19:24:53,1.165s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:24:53,2019-05-27 19:24:58,5.574s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:58,2019-05-27 19:24:59,0.208s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Position Statements""))",Chrome 74.0.3729.169,,,2019-05-27 19:24:59,2019-05-27 19:25:01,2.192s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Safety System Repairs and Inspections required after a Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:01,2019-05-27 19:25:01,0.231s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:25:01,2019-05-27 19:25:02,0.889s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Programs and Offers,Chrome 74.0.3729.169,,,2019-05-27 19:25:02,2019-05-27 19:25:19,17.465s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:25:02,2019-05-27 19:25:09,7.005s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:25:09,2019-05-27 19:25:10,1.229s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:25:10,2019-05-27 19:25:14,3.734s,PASSED
"click(findTestObject(""Object Repository/li_Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:14,2019-05-27 19:25:14,0.162s,PASSED
"click(findTestObject(""Object Repository/a_Programs  Offers""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:14,2019-05-27 19:25:18,3.956s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:25:18,2019-05-27 19:25:19,1.087s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Technical Documents,Chrome 74.0.3729.169,,,2019-05-27 19:25:19,2019-05-27 19:25:38,18.224s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:25:20,2019-05-27 19:25:26,6.371s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:25:26,2019-05-27 19:25:27,1.167s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:25:27,2019-05-27 19:25:31,3.733s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:31,2019-05-27 19:25:31,0.211s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Technical Documents""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:31,2019-05-27 19:25:35,3.990s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Service bulletins""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:35,2019-05-27 19:25:35,0.165s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Service bulletins""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:35,2019-05-27 19:25:36,0.166s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/button_Position Statements""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:36,2019-05-27 19:25:37,1.115s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:25:37,2019-05-27 19:25:38,0.911s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/The Genuine Difference,Chrome 74.0.3729.169,,,2019-05-27 19:25:38,2019-05-27 19:25:54,16.403s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:25:38,2019-05-27 19:25:45,6.636s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:25:45,2019-05-27 19:25:46,1.358s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:25:46,2019-05-27 19:25:49,3.391s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:49,2019-05-27 19:25:50,0.153s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_The Genuine Difference""))",Chrome 74.0.3729.169,,,2019-05-27 19:25:50,2019-05-27 19:25:53,3.668s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:25:53,2019-05-27 19:25:54,0.876s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Touch-UP Paint,Chrome 74.0.3729.169,,,2019-05-27 19:25:54,2019-05-27 19:26:11,17.293s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:25:54,2019-05-27 19:26:01,6.591s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:26:01,2019-05-27 19:26:02,1.293s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:26:02,2019-05-27 19:26:07,4.356s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:26:07,2019-05-27 19:26:07,0.153s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Touch-up paint""))",Chrome 74.0.3729.169,,,2019-05-27 19:26:07,2019-05-27 19:26:10,3.469s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:26:10,2019-05-27 19:26:11,1.093s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Powertrain/Engine Components,Chrome 74.0.3729.169,,,2019-05-27 19:26:11,2019-05-27 19:26:25,13.776s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:26:12,2019-05-27 19:26:19,6.805s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:26:19,2019-05-27 19:26:20,1.203s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:26:20,2019-05-27 19:26:24,4.271s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Powertrain""))",Chrome 74.0.3729.169,,,2019-05-27 19:26:24,2019-05-27 19:26:24,0.131s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Engine components""))",Chrome 74.0.3729.169,,,2019-05-27 19:26:24,2019-05-27 19:26:24,0.116s,PASSED
