Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/a_Engine Components""))",Firefox 66.0,,,2019-05-22 18:02:22,2019-05-22 18:02:24,1.442s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 18:02:24,2019-05-22 18:02:25,1.381s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Powertrain/Engines,Firefox 66.0,,,2019-05-22 18:02:25,2019-05-22 18:02:42,17.137s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 18:02:25,2019-05-22 18:02:34,8.843s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 18:02:34,2019-05-22 18:02:37,3.392s,PASSED
"click(findTestObject(""Object Repository/a_Engines""))",Firefox 66.0,,,2019-05-22 18:02:37,2019-05-22 18:02:41,3.191s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 18:02:41,2019-05-22 18:02:42,1.383s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Powertrain/Transmission Components,Firefox 66.0,,,2019-05-22 18:02:42,2019-05-22 18:02:58,15.815s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 18:02:42,2019-05-22 18:02:51,8.987s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 18:02:51,2019-05-22 18:02:54,2.398s,PASSED
"click(findTestObject(""Object Repository/a_Transmission Components""))",Firefox 66.0,,,2019-05-22 18:02:54,2019-05-22 18:02:57,3.055s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 18:02:57,2019-05-22 18:02:58,1.190s,PASSED
,,,,,,,
Test Cases/GGMP/SiveNav/Powertrain/Transmission,Firefox 66.0,,,2019-05-22 18:02:58,2019-05-22 18:03:13,15.185s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-22 18:02:58,2019-05-22 18:03:07,8.927s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Firefox 66.0,,,2019-05-22 18:03:07,2019-05-22 18:03:10,2.542s,PASSED
"click(findTestObject(""Object Repository/a_Transmissions  Transfer Cases""))",Firefox 66.0,,,2019-05-22 18:03:10,2019-05-22 18:03:12,2.153s,PASSED
closeBrowser(),Firefox 66.0,,,2019-05-22 18:03:12,2019-05-22 18:03:13,1.327s,PASSED
